dataset,condition,method,classifier,minority_%,AUC,F1,Precision,Recall
credit_default,unified,gctgan,RF,50.0,0.7741,0.4699,0.6541,0.3666
credit_default,unified,gctgan,LGBM,50.0,0.781,0.4634,0.6632,0.3561
credit_default,unified,gctgan,MLP,50.0,0.7525,0.4651,0.5529,0.4013
credit_default,unified,gctgan,TabNet,50.0,0.7155,0.4539,0.4265,0.4852
credit_fraud,native,smote,RF,50.0,0.9497,0.8345,0.8923,0.7838
credit_fraud,native,smote,LGBM,50.0,0.97,0.8459,0.9008,0.7973
credit_fraud,native,smote,MLP,50.0,0.9396,0.7375,0.7255,0.75
credit_fraud,native,smote,TabNet,50.0,0.9266,0.7093,0.6224,0.8243
credit_fraud,native,adasyn,RF,33.3,0.966,0.8058,0.8615,0.7568
credit_fraud,native,adasyn,LGBM,33.3,0.9672,0.8084,0.8345,0.7838
credit_fraud,native,adasyn,MLP,33.3,0.952,0.7872,0.8284,0.75
credit_fraud,native,adasyn,TabNet,33.3,0.9307,0.7104,0.6364,0.8041
credit_fraud,native,gsmote,RF,50.0,0.9453,0.8303,0.8915,0.777
credit_fraud,native,gsmote,LGBM,50.0,0.9544,0.7683,0.7246,0.8176
credit_fraud,native,gsmote,MLP,50.0,0.9202,0.7379,0.7081,0.7703
credit_fraud,native,gsmote,TabNet,50.0,0.9053,0.7436,0.7073,0.7838
credit_fraud,native,ctgan,RF,48.6,0.9686,0.7947,0.7792,0.8108
credit_fraud,native,ctgan,LGBM,48.6,0.9671,0.8082,0.8194,0.7973
credit_fraud,native,ctgan,MLP,48.6,0.9611,0.7912,0.864,0.7297
credit_fraud,native,ctgan,TabNet,48.6,0.9508,0.8097,0.8298,0.7905
credit_fraud,native,gctgan,RF,42.1,0.9605,0.7401,0.676,0.8176
credit_fraud,native,gctgan,LGBM,42.1,0.9695,0.8163,0.8219,0.8108
credit_fraud,native,gctgan,MLP,42.1,0.9605,0.7664,0.8333,0.7095
credit_fraud,native,gctgan,TabNet,42.1,0.9632,0.8058,0.8615,0.7568
credit_fraud,unified,none,RF,0.2,0.9666,0.7902,0.8188,0.7635
credit_fraud,unified,none,LGBM,0.2,0.9768,0.8476,0.9421,0.7703
credit_fraud,unified,none,MLP,0.2,0.9678,0.7749,0.8537,0.7095
credit_fraud,unified,none,TabNet,0.2,0.9517,0.7872,0.8284,0.75
credit_fraud,unified,smote,RF,50.0,0.9497,0.8345,0.8923,0.7838
credit_fraud,unified,smote,LGBM,50.0,0.97,0.8459,0.9008,0.7973
credit_fraud,unified,smote,MLP,50.0,0.9396,0.7375,0.7255,0.75
credit_fraud,unified,smote,TabNet,50.0,0.9266,0.7093,0.6224,0.8243
credit_fraud,unified,adasyn,RF,33.3,0.966,0.8058,0.8615,0.7568
credit_fraud,unified,adasyn,LGBM,33.3,0.9672,0.8084,0.8345,0.7838
credit_fraud,unified,adasyn,MLP,33.3,0.952,0.7872,0.8284,0.75
credit_fraud,unified,adasyn,TabNet,33.3,0.9307,0.7104,0.6364,0.8041
credit_fraud,unified,gsmote,RF,50.0,0.9453,0.8303,0.8915,0.777
credit_fraud,unified,gsmote,LGBM,50.0,0.9544,0.7683,0.7246,0.8176
credit_fraud,unified,gsmote,MLP,50.0,0.9202,0.7379,0.7081,0.7703
credit_fraud,unified,gsmote,TabNet,50.0,0.9053,0.7436,0.7073,0.7838
credit_fraud,unified,ctgan,RF,50.0,0.9742,0.8013,0.7987,0.8041
credit_fraud,unified,ctgan,LGBM,50.0,0.9706,0.8582,0.9291,0.7973
credit_fraud,unified,ctgan,MLP,50.0,0.9708,0.8194,0.8429,0.7973
credit_fraud,unified,ctgan,TabNet,50.0,0.9555,0.7857,0.9519,0.6689
credit_fraud,unified,gctgan,RF,50.0,0.9664,0.8067,0.7961,0.8176
credit_fraud,unified,gctgan,LGBM,50.0,0.9609,0.8243,0.8243,0.8243
credit_fraud,unified,gctgan,MLP,50.0,0.963,0.7862,0.8028,0.7703
credit_fraud,unified,gctgan,TabNet,50.0,0.9349,0.8195,0.9237,0.7365
diabetes,native,smote,RF,50.0,0.8409,0.6541,0.6667,0.642
diabetes,native,smote,LGBM,50.0,0.8133,0.6335,0.6375,0.6296
diabetes,native,smote,MLP,50.0,0.8449,0.7191,0.6598,0.7901
diabetes,native,smote,TabNet,50.0,0.5455,0.4199,0.38,0.4691
diabetes,native,adasyn,RF,50.0,0.8409,0.6541,0.6667,0.642
diabetes,native,adasyn,LGBM,50.0,0.8133,0.6335,0.6375,0.6296
diabetes,native,adasyn,MLP,50.0,0.8449,0.7191,0.6598,0.7901
diabetes,native,adasyn,TabNet,50.0,0.5455,0.4199,0.38,0.4691
diabetes,native,gsmote,RF,49.9,0.8161,0.6512,0.6154,0.6914
diabetes,native,gsmote,LGBM,49.9,0.8021,0.6341,0.6265,0.642
diabetes,native,gsmote,MLP,49.9,0.8474,0.6943,0.5982,0.8272
diabetes,native,gsmote,TabNet,49.9,0.5455,0.4199,0.38,0.4691
diabetes,native,ctgan,RF,48.5,0.8337,0.6203,0.6364,0.6049
diabetes,native,ctgan,LGBM,48.5,0.8133,0.6115,0.6316,0.5926
diabetes,native,ctgan,MLP,48.5,0.8491,0.6626,0.6585,0.6667
diabetes,native,ctgan,TabNet,48.5,0.5455,0.4199,0.38,0.4691
diabetes,native,gctgan,RF,42.0,0.8274,0.5987,0.6184,0.5802
diabetes,native,gctgan,LGBM,42.0,0.7956,0.6296,0.6296,0.6296
diabetes,native,gctgan,MLP,42.0,0.7976,0.5538,0.7347,0.4444
diabetes,native,gctgan,TabNet,42.0,0.5455,0.4199,0.38,0.4691
diabetes,unified,none,RF,34.8,0.8394,0.6115,0.6316,0.5926
diabetes,unified,none,LGBM,34.8,0.8172,0.6296,0.6296,0.6296
diabetes,unified,none,MLP,34.8,0.8372,0.5811,0.6418,0.5309
diabetes,unified,none,TabNet,34.8,0.5455,0.4199,0.38,0.4691
diabetes,unified,smote,RF,50.0,0.8409,0.6541,0.6667,0.642
diabetes,unified,smote,LGBM,50.0,0.8133,0.6335,0.6375,0.6296
diabetes,unified,smote,MLP,50.0,0.8449,0.7191,0.6598,0.7901
diabetes,unified,smote,TabNet,50.0,0.5455,0.4199,0.38,0.4691
diabetes,unified,adasyn,RF,50.0,0.8409,0.6541,0.6667,0.642
diabetes,unified,adasyn,LGBM,50.0,0.8133,0.6335,0.6375,0.6296
diabetes,unified,adasyn,MLP,50.0,0.8449,0.7191,0.6598,0.7901
diabetes,unified,adasyn,TabNet,50.0,0.5455,0.4199,0.38,0.4691
diabetes,unified,gsmote,RF,49.9,0.8161,0.6512,0.6154,0.6914
diabetes,unified,gsmote,LGBM,49.9,0.8021,0.6341,0.6265,0.642
diabetes,unified,gsmote,MLP,49.9,0.8474,0.6943,0.5982,0.8272
diabetes,unified,gsmote,TabNet,49.9,0.5455,0.4199,0.38,0.4691
diabetes,unified,ctgan,RF,50.0,0.8159,0.6415,0.6538,0.6296
diabetes,unified,ctgan,LGBM,50.0,0.8123,0.6203,0.6364,0.6049
diabetes,unified,ctgan,MLP,50.0,0.8342,0.6341,0.6265,0.642
diabetes,unified,ctgan,TabNet,50.0,0.5455,0.4199,0.38,0.4691
diabetes,unified,gctgan,RF,49.9,0.8151,0.6303,0.619,0.642
diabetes,unified,gctgan,LGBM,49.9,0.8059,0.604,0.6618,0.5556
diabetes,unified,gctgan,MLP,49.9,0.8416,0.6932,0.6421,0.7531
diabetes,unified,gctgan,TabNet,49.9,0.5455,0.4199,0.38,0.4691
ibm_attrition,native,smote,RF,50.0,0.7758,0.3333,0.5484,0.2394
ibm_attrition,native,smote,LGBM,50.0,0.7469,0.3636,0.6429,0.2535
ibm_attrition,native,smote,MLP,50.0,0.7548,0.4521,0.44,0.4648
ibm_attrition,native,smote,TabNet,50.0,0.6209,0.3544,0.3218,0.3944
ibm_attrition,native,adasyn,RF,33.9,0.779,0.3232,0.5714,0.2254
ibm_attrition,native,adasyn,LGBM,33.9,0.7574,0.3495,0.5625,0.2535
ibm_attrition,native,adasyn,MLP,33.9,0.7303,0.4889,0.5156,0.4648
ibm_attrition,native,adasyn,TabNet,33.9,0.6896,0.4342,0.4074,0.4648
ibm_attrition,native,gsmote,RF,49.8,0.7488,0.3333,0.4865,0.2535
ibm_attrition,native,gsmote,LGBM,49.8,0.7247,0.3604,0.5,0.2817
ibm_attrition,native,gsmote,MLP,49.8,0.7367,0.4865,0.4675,0.507
ibm_attrition,native,gsmote,TabNet,49.8,0.7201,0.4421,0.3529,0.5915
ibm_attrition,native,ctgan,RF,48.6,0.7592,0.2474,0.4615,0.169
ibm_attrition,native,ctgan,LGBM,48.6,0.7668,0.3529,0.5806,0.2535
ibm_attrition,native,ctgan,MLP,48.6,0.7429,0.4196,0.4167,0.4225
ibm_attrition,native,ctgan,TabNet,48.6,0.7188,0.4184,0.328,0.5775
ibm_attrition,native,gctgan,RF,41.8,0.7645,0.2947,0.5833,0.1972
ibm_attrition,native,gctgan,LGBM,41.8,0.7485,0.3564,0.6,0.2535
ibm_attrition,native,gctgan,MLP,41.8,0.7574,0.4564,0.4359,0.4789
ibm_attrition,native,gctgan,TabNet,41.8,0.7,0.4024,0.3548,0.4648
ibm_attrition,unified,none,RF,16.1,0.7583,0.1176,0.3571,0.0704
ibm_attrition,unified,none,LGBM,16.1,0.7366,0.3551,0.5278,0.2676
ibm_attrition,unified,none,MLP,16.1,0.7771,0.4808,0.7576,0.3521
ibm_attrition,unified,none,TabNet,16.1,0.7129,0.2927,0.3462,0.2535
ibm_attrition,unified,smote,RF,50.0,0.7758,0.3333,0.5484,0.2394
ibm_attrition,unified,smote,LGBM,50.0,0.7469,0.3636,0.6429,0.2535
ibm_attrition,unified,smote,MLP,50.0,0.7548,0.4521,0.44,0.4648
ibm_attrition,unified,smote,TabNet,50.0,0.6209,0.3544,0.3218,0.3944
ibm_attrition,unified,adasyn,RF,33.9,0.779,0.3232,0.5714,0.2254
ibm_attrition,unified,adasyn,LGBM,33.9,0.7574,0.3495,0.5625,0.2535
ibm_attrition,unified,adasyn,MLP,33.9,0.7303,0.4889,0.5156,0.4648
ibm_attrition,unified,adasyn,TabNet,33.9,0.6896,0.4342,0.4074,0.4648
ibm_attrition,unified,gsmote,RF,49.8,0.7488,0.3333,0.4865,0.2535
ibm_attrition,unified,gsmote,LGBM,49.8,0.7247,0.3604,0.5,0.2817
ibm_attrition,unified,gsmote,MLP,49.8,0.7367,0.4865,0.4675,0.507
ibm_attrition,unified,gsmote,TabNet,49.8,0.7201,0.4421,0.3529,0.5915
ibm_attrition,unified,ctgan,RF,50.0,0.7702,0.2366,0.5,0.1549
ibm_attrition,unified,ctgan,LGBM,50.0,0.7541,0.3469,0.6296,0.2394
ibm_attrition,unified,ctgan,MLP,50.0,0.7092,0.426,0.3673,0.507
ibm_attrition,unified,ctgan,TabNet,50.0,0.7147,0.4093,0.3056,0.6197
ibm_attrition,unified,gctgan,RF,49.8,0.7693,0.2887,0.5385,0.1972
ibm_attrition,unified,gctgan,LGBM,49.8,0.7648,0.2917,0.56,0.1972
ibm_attrition,unified,gctgan,MLP,49.8,0.7627,0.4375,0.3933,0.493
ibm_attrition,unified,gctgan,TabNet,49.8,0.7192,0.4211,0.3361,0.5634
