dataset,condition,method,classifier,best_params
credit_default,unified,gsmote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_default,unified,ctgan,RF,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 200}"
credit_default,unified,ctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
credit_default,unified,ctgan,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
credit_default,unified,ctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_default,unified,gctgan,RF,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 200}"
credit_default,unified,gctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
credit_default,unified,gctgan,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
credit_default,unified,gctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_fraud,native,smote,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}"
credit_fraud,native,smote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
credit_fraud,native,smote,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
credit_fraud,native,smote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_fraud,native,adasyn,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}"
credit_fraud,native,adasyn,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
credit_fraud,native,adasyn,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
credit_fraud,native,adasyn,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_fraud,native,gsmote,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}"
credit_fraud,native,gsmote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 63}"
credit_fraud,native,gsmote,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
credit_fraud,native,gsmote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_fraud,native,ctgan,RF,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 200}"
credit_fraud,native,ctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}"
credit_fraud,native,ctgan,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
credit_fraud,native,ctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_fraud,native,gctgan,RF,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 200}"
credit_fraud,native,gctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
credit_fraud,native,gctgan,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
credit_fraud,native,gctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_fraud,unified,none,RF,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 200}"
credit_fraud,unified,none,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
credit_fraud,unified,none,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
credit_fraud,unified,none,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_fraud,unified,smote,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}"
credit_fraud,unified,smote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
credit_fraud,unified,smote,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
credit_fraud,unified,smote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_fraud,unified,adasyn,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}"
credit_fraud,unified,adasyn,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
credit_fraud,unified,adasyn,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
credit_fraud,unified,adasyn,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_fraud,unified,gsmote,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}"
credit_fraud,unified,gsmote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 63}"
credit_fraud,unified,gsmote,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
credit_fraud,unified,gsmote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_fraud,unified,ctgan,RF,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 200}"
credit_fraud,unified,ctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
credit_fraud,unified,ctgan,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
credit_fraud,unified,ctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_fraud,unified,gctgan,RF,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 200}"
credit_fraud,unified,gctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 63}"
credit_fraud,unified,gctgan,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
credit_fraud,unified,gctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
diabetes,native,smote,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}"
diabetes,native,smote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
diabetes,native,smote,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
diabetes,native,smote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
diabetes,native,adasyn,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}"
diabetes,native,adasyn,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
diabetes,native,adasyn,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
diabetes,native,adasyn,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
diabetes,native,gsmote,RF,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 200}"
diabetes,native,gsmote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
diabetes,native,gsmote,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
diabetes,native,gsmote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
diabetes,native,ctgan,RF,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 100}"
diabetes,native,ctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31}"
diabetes,native,ctgan,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
diabetes,native,ctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
diabetes,native,gctgan,RF,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 200}"
diabetes,native,gctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}"
diabetes,native,gctgan,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
diabetes,native,gctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
diabetes,unified,none,RF,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 200}"
diabetes,unified,none,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
diabetes,unified,none,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
diabetes,unified,none,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
diabetes,unified,smote,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}"
diabetes,unified,smote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
diabetes,unified,smote,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
diabetes,unified,smote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
diabetes,unified,adasyn,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}"
diabetes,unified,adasyn,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
diabetes,unified,adasyn,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
diabetes,unified,adasyn,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
diabetes,unified,gsmote,RF,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 200}"
diabetes,unified,gsmote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
diabetes,unified,gsmote,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
diabetes,unified,gsmote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
diabetes,unified,ctgan,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}"
diabetes,unified,ctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
diabetes,unified,ctgan,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
diabetes,unified,ctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
diabetes,unified,gctgan,RF,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 200}"
diabetes,unified,gctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
diabetes,unified,gctgan,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
diabetes,unified,gctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
ibm_attrition,native,smote,RF,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 200}"
ibm_attrition,native,smote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
ibm_attrition,native,smote,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
ibm_attrition,native,smote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
ibm_attrition,native,adasyn,RF,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 200}"
ibm_attrition,native,adasyn,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 31}"
ibm_attrition,native,adasyn,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
ibm_attrition,native,adasyn,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
ibm_attrition,native,gsmote,RF,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 100}"
ibm_attrition,native,gsmote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}"
ibm_attrition,native,gsmote,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
ibm_attrition,native,gsmote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
ibm_attrition,native,ctgan,RF,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 200}"
ibm_attrition,native,ctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 31}"
ibm_attrition,native,ctgan,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
ibm_attrition,native,ctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
ibm_attrition,native,gctgan,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}"
ibm_attrition,native,gctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 63}"
ibm_attrition,native,gctgan,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
ibm_attrition,native,gctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
ibm_attrition,unified,none,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}"
ibm_attrition,unified,none,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 31}"
ibm_attrition,unified,none,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
ibm_attrition,unified,none,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
ibm_attrition,unified,smote,RF,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 200}"
ibm_attrition,unified,smote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
ibm_attrition,unified,smote,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
ibm_attrition,unified,smote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
ibm_attrition,unified,adasyn,RF,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 200}"
ibm_attrition,unified,adasyn,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 31}"
ibm_attrition,unified,adasyn,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
ibm_attrition,unified,adasyn,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
ibm_attrition,unified,gsmote,RF,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 100}"
ibm_attrition,unified,gsmote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}"
ibm_attrition,unified,gsmote,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
ibm_attrition,unified,gsmote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
ibm_attrition,unified,ctgan,RF,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 200}"
ibm_attrition,unified,ctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}"
ibm_attrition,unified,ctgan,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
ibm_attrition,unified,ctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
ibm_attrition,unified,gctgan,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}"
ibm_attrition,unified,gctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 31}"
ibm_attrition,unified,gctgan,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
ibm_attrition,unified,gctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
