Dataset,Classifier,Method,AUC,F1,Precision,Recall
Pima Diabetes,RF,CTGAN,0.8159,0.6415,0.6538,0.6296
Pima Diabetes,RF,G-CTGAN,0.8151,0.6303,0.619,0.642
Pima Diabetes,LGBM,None,0.8172,0.6296,0.6296,0.6296
Pima Diabetes,LGBM,SMOTE,0.8133,0.6335,0.6375,0.6296
Pima Diabetes,LGBM,ADASYN,0.8133,0.6335,0.6375,0.6296
Pima Diabetes,LGBM,G-SMOTE,0.8021,0.6341,0.6265,0.642
Pima Diabetes,LGBM,CTGAN,0.8123,0.6203,0.6364,0.6049
Pima Diabetes,LGBM,G-CTGAN,0.8059,0.604,0.6618,0.5556
Pima Diabetes,MLP,None,0.8372,0.5811,0.6418,0.5309
Pima Diabetes,MLP,SMOTE,0.8449,0.7191,0.6598,0.7901
Pima Diabetes,MLP,ADASYN,0.8449,0.7191,0.6598,0.7901
Pima Diabetes,MLP,G-SMOTE,0.8474,0.6943,0.5982,0.8272
Pima Diabetes,MLP,CTGAN,0.8342,0.6341,0.6265,0.642
Pima Diabetes,MLP,G-CTGAN,0.8416,0.6932,0.6421,0.7531
Pima Diabetes,TabNet,None,0.5455,0.4199,0.38,0.4691
Pima Diabetes,TabNet,SMOTE,0.5455,0.4199,0.38,0.4691
Pima Diabetes,TabNet,ADASYN,0.5455,0.4199,0.38,0.4691
Pima Diabetes,TabNet,G-SMOTE,0.5455,0.4199,0.38,0.4691
Pima Diabetes,TabNet,CTGAN,0.5455,0.4199,0.38,0.4691
Pima Diabetes,TabNet,G-CTGAN,0.5455,0.4199,0.38,0.4691
IBM Attrition,RF,None,0.7583,0.1176,0.3571,0.0704
IBM Attrition,RF,SMOTE,0.7758,0.3333,0.5484,0.2394
IBM Attrition,RF,ADASYN,0.779,0.3232,0.5714,0.2254
IBM Attrition,RF,G-SMOTE,0.7488,0.3333,0.4865,0.2535
IBM Attrition,RF,CTGAN,0.7702,0.2366,0.5,0.1549
IBM Attrition,RF,G-CTGAN,0.7693,0.2887,0.5385,0.1972
IBM Attrition,LGBM,None,0.7366,0.3551,0.5278,0.2676
IBM Attrition,LGBM,SMOTE,0.7469,0.3636,0.6429,0.2535
IBM Attrition,LGBM,ADASYN,0.7574,0.3495,0.5625,0.2535
IBM Attrition,LGBM,G-SMOTE,0.7247,0.3604,0.5,0.2817
IBM Attrition,LGBM,CTGAN,0.7541,0.3469,0.6296,0.2394
IBM Attrition,LGBM,G-CTGAN,0.7648,0.2917,0.56,0.1972
IBM Attrition,MLP,None,0.7771,0.4808,0.7576,0.3521
IBM Attrition,MLP,SMOTE,0.7548,0.4521,0.44,0.4648
IBM Attrition,MLP,ADASYN,0.7303,0.4889,0.5156,0.4648
IBM Attrition,MLP,G-SMOTE,0.7367,0.4865,0.4675,0.507
IBM Attrition,MLP,CTGAN,0.7092,0.426,0.3673,0.507
IBM Attrition,MLP,G-CTGAN,0.7627,0.4375,0.3933,0.493
IBM Attrition,TabNet,None,0.7129,0.2927,0.3462,0.2535
IBM Attrition,TabNet,SMOTE,0.6209,0.3544,0.3218,0.3944
IBM Attrition,TabNet,ADASYN,0.6896,0.4342,0.4074,0.4648
IBM Attrition,TabNet,G-SMOTE,0.7201,0.4421,0.3529,0.5915
IBM Attrition,TabNet,CTGAN,0.7147,0.4093,0.3056,0.6197
IBM Attrition,TabNet,G-CTGAN,0.7192,0.4211,0.3361,0.5634
